ID,Media,FamSize,Hilary,Trump,Age,Partner,Education,SpouseEdu,Employment,Birthplace,GBirth,Dependent,Housing,Income,Education2,PartyID,Marital
404236,7,1,1,6,66,-1,10,13,5,1,1,0,3,17,3,2,1
404238,6,1,4,4,60,-1,13,12,5,1,1,0,2,20,5,1,1
404239,7,2,6,6,51,1,11,9,1,4,0,0,2,27,4,3,3
404240,6,0,2,7,38,2,10,-1,1,1,1,0,1,1,3,1,5
404241,4,2,2,5,24,1,11,9,1,1,1,1,1,7,4,2,5
404245,7,0,2,6,63,-1,9,4,6,1,1,0,1,1,2,2,1
404248,7,1,2,5,58,-1,9,9,6,1,1,0,1,12,2,1,1
404249,6,6,2,5,32,-1,10,10,1,1,1,6,2,24,3,2,1
404250,7,2,1,3,36,-1,14,13,1,1,3,1,2,17,6,4,1
404252,3,4,2,5,39,-1,14,13,1,4,3,3,2,28,6,3,1
404260,6,1,2,5,64,1,10,10,1,1,3,0,2,21,3,2,3
404263,7,2,3,1,44,-1,11,11,1,1,1,1,2,20,4,3,1
404264,7,1,2,6,82,-1,15,15,5,1,2,0,2,28,6,1,1
404266,1,1,2,4,29,-1,13,14,1,1,1,0,2,24,5,2,1
404268,5,1,2,7,29,2,10,-1,4,1,3,0,1,2,3,1,5
404269,1,3,1,7,41,2,14,-1,1,1,1,3,3,5,6,2,3
404275,1,0,3,7,30,1,9,9,1,1,0,0,1,6,2,3,5
404277,7,0,4,7,56,2,13,-1,1,1,3,0,2,25,5,3,3
404278,0,1,4,5,39,2,14,-1,1,1,1,0,2,17,6,3,4
404279,7,1,2,6,70,-1,13,11,5,1,1,0,2,11,5,3,1
404281,5,4,1,5,19,2,9,-1,1,1,1,1,4,21,2,2,5
404282,5,3,4,2,41,-1,9,10,1,1,1,1,2,14,2,3,1
404285,3,0,2,7,21,2,10,-1,1,1,1,0,1,3,3,1,5
404286,7,1,3,4,37,2,9,-1,4,1,1,0,1,7,2,1,3
404291,3,1,3,6,25,1,14,13,1,1,1,0,1,22,6,1,5
404293,1,5,3,3,18,2,7,-1,1,1,2,3,4,25,1,2,5
404294,7,1,4,1,68,-1,10,10,5,1,3,0,3,14,3,1,1
404298,5,1,2,5,83,-1,9,14,5,1,0,0,3,17,2,2,1
404300,7,1,3,5,53,-1,11,11,5,1,1,0,3,23,4,1,1
404301,7,2,2,7,25,2,13,-1,8,1,0,0,2,23,5,1,5
404304,3,2,4,4,30,2,14,-1,1,1,1,0,3,18,6,2,4
404307,5,0,-9,-9,62,-1,9,11,1,1,1,0,3,13,2,4,1
404311,2,1,3,4,35,2,13,-1,5,1,0,0,1,1,5,2,5
404319,6,3,2,7,20,2,9,-1,8,1,1,0,3,27,2,2,5
404321,7,0,4,6,56,2,14,-1,1,1,1,0,1,18,6,4,5
404322,2,0,2,6,51,2,9,-1,1,1,1,0,4,11,2,3,5
404323,5,1,3,6,49,2,12,-1,1,4,1,1,1,13,4,1,3
404324,5,2,1,5,55,-1,12,10,1,1,1,0,2,23,4,2,1
404327,5,3,1,5,24,2,14,-1,8,1,1,1,4,18,6,3,5
404330,3,1,4,4,44,2,9,-1,6,1,4,1,4,3,2,3,3
404331,5,4,2,6,49,-1,13,11,1,1,1,1,2,26,5,2,1
404334,3,0,6,7,27,1,10,10,1,1,1,0,1,12,3,1,5
404336,6,1,2,6,60,-1,10,10,4,1,1,0,1,6,3,3,1
